SITE_ID,IGBP,GPP_NT_day,GPPsat,NEP_95,NEP_99,RECOmax,EF,EFampl,Gsmax,G1,uWUE,GPPsat_std,wLL,wLMA,wSSD,wNmass,wNarea,Hc,LAImax,P,latitude,longitude,Precip,Ta,SW_IN,VPD,CSWI,n_year,APAR,APARmax,fPAR,APARpeak,GPP_k_LAI,APAR_Nmass,APARpeak_Nmass,APARmax_Nmass,PNUEmass,APAR_Narea,APARpeak_Narea,APAR_N,PNUEarea,PNUE,GPP_LAI,LAI_Hc,LAI_fPAR,LAI_Hc_fPAR,WUEet,WUEt,WUEtmax,pWUEt
US-Atq,WET,3.5676760022248772,6.994571513682726,4.409680955410003,5.300051325798034,1.733951950073242,0.4221658142991578,0.1575147058813185,0.020547979892242732,8.848335865599644,0.8758123348324699,0.7073925557156664,6.981248886354075,0.12328628042899424,NA,NA,NA,0.3,1.1,6.259523768,70.4696,-157.4089,608.0290061235428,-10.669566731729496,103.47517631587264,0.08484416714435906,1.0056453456744927,5,168.08473235362453,178.1566358254736,0.2841619047619048,142.93322723738018,4.035516708512002,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.358701376075206,3.666666666666667,3.871032610517143,1.0419269841269843,52.43127742657491,3.5404242911441304,9.64888172871645,3.6491075845771355
US-Aud,GRA,7.546087531691335,14.83765029022648,13.181498384475706,15.004100074768065,2.681999921798706,0.5263157894736842,0.2659523483499931,0.0034514390755797236,1.2323843657764568,2.836665010484328,5.617007348413318,NA,NA,NA,NA,NA,15,1,NA,31.59070015,-110.5100021,1607.610009804368,17.079327865002973,238.8767693138294,1.3460341904998867,-0.6849525810748487,5,146.25151918981481,225.46312431076387,0.17704637564763145,174.07627991085428,8.999489819116413,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.83765029022648,0.06666666666666667,5.6482376232895115,0.011803091709842096,47.05596646362518,3.4096942034350435,7.048264897964257,4.018539015431597
US-Bkg,GRA,10.32809261966123,23.42960803797593,14.996483691533406,17.77719258944195,5.284454822540283,0.8206896551724138,0.2786351984215285,0.051520717378728736,10.279190786898166,1.208259116836777,3.8817415188272992,NA,NA,NA,NA,NA,0.3,3,58.65777789,44.34529877,-96.8361969,1708.4000037759542,7.96530057404573,176.71368260562178,0.38303528534853587,-4.379664337959848,3,402.62870093942905,483.8258328703704,0.47772955052391325,403.0612983034533,5.227852193728509,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.809869345991977,10,6.279703645524921,4.777295505239133,29.945120202500203,1.8600246335338062,4.223730551831735,2.252053749617949
US-Blo,ENF,12.46993971903378,20.529769228521516,13.30976259058172,16.153504908301617,6.083549976348877,0.5127983581763513,0.24702018008469628,0.008418448961300617,2.110497138582571,2.8745101832928293,3.6505543359086117,78.65986611073613,0.23219575852234353,0.441174402182382,1.407,3.2669943224093734,2.59,4.63,49.8404436,38.8953,-120.6328,10454.390151202679,11.893195113172679,219.39510360764288,0.8933972282915071,-12.6635631046624,11,489.4313252175635,525.4203641623643,0.7028069535769368,492.302783340204,2.027646965145454,347.8545310714737,349.8953684009978,373.4330946427607,1459.1165052254098,149.8108894344858,150.6898190680466,160.8268372425185,6.283992931270548,1.357233894442883,4.434075427326461,1.7876447876447876,6.587868797307155,1.2563691872823233,93.58941981483592,3.949931837557263,13.614986359427064,3.300539132392075
US-Brw,WET,2.811957063766463,8.238876569048093,5.504116706848143,8.334098021507259,1.090999960899353,0.25441139859067674,0.21194043933543094,0.011210579515375359,2.0523401513065584,0.5739275756297302,2.455924207664071,3.6,0.08589934971989992,NA,NA,NA,0.1,1.1,18.50533342,71.32250214,-156.6259003,348.40000499784946,-1.9757679905096643,141.96449526075006,0.059447738228531596,3.8583487465167488,5,NA,NA,NA,NA,4.753418274260532,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.489887790043721,11,NA,NA,107.35085185611946,10.009180482675182,54.19641810656249,NA
US-Cop,GRA,1.6709747985697663,3.292952510901344,2.660880614817142,2.9981999087333677,0.6061570048332214,0.19524643913018314,0.1422237606360651,0.0013519336709530523,1.9722958211654227,2.1716524211661556,1.0942546400998727,6,0.06791282764577526,0.5903692318317864,NA,NA,0.5,NA,14.77266667,38.09,-109.39,756.3000030368567,13.27952350230566,217.82370022752184,1.3037440962853761,1.9589913493311164,6,98.68452417681836,118.75343476677317,0.14157823679283355,93.64890778034007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.788608785813544,3.1317204643867913,3.7990042583240093,2.8920670051265183
US-Dk1,GRA,9.459590208628828,19.923217691481078,12.746049633026121,15.399860012054443,5.604858875274658,0.6498314435520509,0.2128783074325873,0.008020672663736251,3.1126248425584566,2.24736326135696,3.052513227786084,NA,0.067363,NA,NA,NA,0.55,NA,88.53551668,35.97119904,-79.09339905,5312.13100701198,14.92484325698298,148.54660004483867,0.5698662709500321,-1.6169684575568937,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-Dk2,DBF,19.116552735505888,36.27227216460052,26.38275928497314,32.53621796290079,5.17411470413208,0.7352845568098021,0.20931256088485584,0.014751255606468007,2.318177780706078,3.1796707566428224,3.157844216464735,7.940777593173848,0.05656132582931552,0.5808816035247013,1.85,1.0463845278423372,25,7.03,90.92597257,35.97359848,-79.10040283,3273.3350052572787,15.057075249922521,144.14170442073845,0.5114040969987135,-1.5952181494433058,3,NA,NA,NA,NA,1.0790204050499335,NA,NA,NA,1960.6633602486768,NA,NA,NA,34.66438120926212,4.930921935883658,5.159640421707044,0.2812,NA,NA,NA,NA,NA,NA
US-Dk3,ENF,17.195919734414076,37.48443193395542,25.555205307006833,31.445358840942383,8.770046997070331,0.6151057515489213,0.258746084596995,0.01315794130944787,1.731423020122706,3.380620727236562,6.369451782917501,43.01538219539148,0.1398670100137966,0.5029087672649378,1.012,1.4154541413396216,17.6666666666667,4.2475000000000005,NA,35.97819901,-79.09420013,5302.026007113047,14.67590567719333,148.54151219362294,0.4890582449696264,-3.1112546618059667,5,406.2241895786623,496.29410727654073,0.6825451121886055,416.859115368741,4.482476564894093,401.4073019551999,411.91612190587057,490.4091969135778,3703.9952503908517,286.9921233860685,294.5055605787518,350.62535251536684,26.482265189092743,6.234788743753441,8.825057547723464,0.24042452830188638,6.223031890713038,0.16410058664270358,103.15384775059806,6.803293036762987,16.874113322149753,5.007110178568846
US-FPe,GRA,4.761210963209747,8.455538451761958,6.294214944044748,7.924385088284806,2.9100000858306885,0.46222451244648805,0.3037025815531164,0.006651363370919645,4.794503693104852,1.6067797459125543,3.007704538764497,NA,NA,NA,NA,NA,0.3,2.5,34.81867582,48.307701109999996,-105.1018982,2638.864025875926,5.736047750213224,159.19755042672827,0.5398483040305215,0.5400230489274224,7,233.83690139124565,311.5581008558614,0.24759472777457947,228.0919292170702,2.422552326465586,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3822153807047832,8.333333333333334,10.097145534843957,2.063289398121496,63.172696021348045,3.0227282382334573,8.681583583321968,4.445352790872723
